id,customer_id,amount,currency,failure_reason_code,diagnosis_category,attempt_count,status,created_at
216b3d0a-2f70-41f6-866a-80ee3f70cdf2,8d2188ab-76f6-40bb-bde2-cfc605c5de1b,3212.35,INR,insufficient_funds,customer_action,3,failed,2026-08-11T12:35:55.164081
06cc3197-d4e9-49de-9dd9-f706625f14aa,aa28a145-eab9-4710-9fa3-3999254736ea,3921.29,INR,bank_timeout,retryable,2,failed,2026-08-11T13:35:55.164462
556ab32d-bbf5-49be-8f8b-fa76b8ec5686,9180d49c-fa70-4087-9096-3015c0760630,1158.93,INR,bank_timeout,retryable,0,failed,2026-08-11T17:35:55.164541
70db2da7-47ee-45f7-ac56-3189a5f437b1,1a0f97a0-26bc-4ece-90ed-f3f66aa9175f,883.92,INR,processing_error,retryable,0,failed,2026-08-11T18:35:55.164399
c0fd41ab-0f46-4910-a2fd-4fa1420bc753,a1420933-ec3b-4796-ad27-7b6e5f54e848,629.04,INR,bank_timeout,retryable,0,failed,2026-08-12T01:35:55.164089
e5996dcc-22e8-4766-8363-04e55248d19d,1a0f97a0-26bc-4ece-90ed-f3f66aa9175f,237.65,INR,insufficient_funds,customer_action,0,failed,2026-08-12T06:35:55.164062
4fd128e4-3a6d-445e-abfe-bdbde01ffb79,1a0f97a0-26bc-4ece-90ed-f3f66aa9175f,437.07,INR,insufficient_funds,customer_action,3,failed,2026-08-12T12:35:55.164476
0f26eb93-0a70-4600-a0ba-bd96b0813c79,d79e49f8-c0c7-4cb3-845f-dc2c0c3a59b0,3385.04,INR,bank_timeout,retryable,0,failed,2026-08-12T21:35:55.164072
b4068d0e-e82d-47ee-a854-bf578cf3f528,fb7205d6-11a5-4c56-b2ad-d10568d7a41f,3244.91,INR,insufficient_funds,customer_action,0,failed,2026-08-12T22:35:55.164034
001f48e4-19c1-444e-920d-99f7bf192308,c3526aa7-30af-45cb-9237-b1f5d4f63821,639.29,INR,invalid_otp,customer_action,0,failed,2026-08-12T22:35:55.164214
73cce8dd-4a3a-4d72-b376-d831fea44c3e,9180d49c-fa70-4087-9096-3015c0760630,1084.12,INR,insufficient_funds,customer_action,1,failed,2026-08-13T04:35:55.164271
494d02ea-4ff1-4d02-8849-2ddb609cbe1c,8d2188ab-76f6-40bb-bde2-cfc605c5de1b,1611.2,INR,bank_timeout,retryable,2,failed,2026-08-13T19:35:55.164141
